2025-01-23 17:02:23,895 | src.step_1_download | INFO | Starting download process for Actuele10mindataKNMIstations version 2
2025-01-23 17:02:23,895 | src.step_1_download | INFO | Initialized OpenDataAPI client
2025-01-23 17:02:23,896 | src.step_1_download | INFO | Listing files for dataset Actuele10mindataKNMIstations version 2
2025-01-23 17:02:24,187 | src.step_1_download | INFO | Found latest file: KMDS__OPER_P___10M_OBS_L2_202501231650.nc
2025-01-23 17:02:24,188 | src.step_1_download | INFO | Getting download URL for file: KMDS__OPER_P___10M_OBS_L2_202501231650.nc
2025-01-23 17:02:24,477 | src.step_1_download | INFO | Starting download of file: KMDS__OPER_P___10M_OBS_L2_202501231650.nc
2025-01-23 17:02:24,760 | src.step_1_download | INFO | Download progress: 2.0%
2025-01-23 17:02:24,761 | src.step_1_download | INFO | Download progress: 3.9%
2025-01-23 17:02:24,786 | src.step_1_download | INFO | Download progress: 5.9%
2025-01-23 17:02:24,787 | src.step_1_download | INFO | Download progress: 7.8%
2025-01-23 17:02:24,794 | src.step_1_download | INFO | Download progress: 9.8%
2025-01-23 17:02:24,795 | src.step_1_download | INFO | Download progress: 11.7%
2025-01-23 17:02:24,796 | src.step_1_download | INFO | Download progress: 13.7%
2025-01-23 17:02:24,797 | src.step_1_download | INFO | Download progress: 15.6%
2025-01-23 17:02:24,856 | src.step_1_download | INFO | Download progress: 17.6%
2025-01-23 17:02:24,857 | src.step_1_download | INFO | Download progress: 19.5%
2025-01-23 17:02:24,859 | src.step_1_download | INFO | Download progress: 21.5%
2025-01-23 17:02:24,859 | src.step_1_download | INFO | Download progress: 23.4%
2025-01-23 17:02:24,860 | src.step_1_download | INFO | Download progress: 25.4%
2025-01-23 17:02:24,861 | src.step_1_download | INFO | Download progress: 27.3%
2025-01-23 17:02:24,861 | src.step_1_download | INFO | Download progress: 29.3%
2025-01-23 17:02:24,862 | src.step_1_download | INFO | Download progress: 31.2%
2025-01-23 17:02:24,862 | src.step_1_download | INFO | Download progress: 33.2%
2025-01-23 17:02:24,863 | src.step_1_download | INFO | Download progress: 35.1%
2025-01-23 17:02:24,864 | src.step_1_download | INFO | Download progress: 37.1%
2025-01-23 17:02:24,881 | src.step_1_download | INFO | Download progress: 39.0%
2025-01-23 17:02:24,881 | src.step_1_download | INFO | Download progress: 41.0%
2025-01-23 17:02:24,884 | src.step_1_download | INFO | Download progress: 42.9%
2025-01-23 17:02:24,884 | src.step_1_download | INFO | Download progress: 44.9%
2025-01-23 17:02:24,885 | src.step_1_download | INFO | Download progress: 46.8%
2025-01-23 17:02:24,886 | src.step_1_download | INFO | Download progress: 48.8%
2025-01-23 17:02:24,887 | src.step_1_download | INFO | Download progress: 50.8%
2025-01-23 17:02:24,887 | src.step_1_download | INFO | Download progress: 52.7%
2025-01-23 17:02:24,888 | src.step_1_download | INFO | Download progress: 54.7%
2025-01-23 17:02:24,889 | src.step_1_download | INFO | Download progress: 56.6%
2025-01-23 17:02:24,889 | src.step_1_download | INFO | Download progress: 58.6%
2025-01-23 17:02:24,890 | src.step_1_download | INFO | Download progress: 60.5%
2025-01-23 17:02:24,959 | src.step_1_download | INFO | Download progress: 62.5%
2025-01-23 17:02:24,961 | src.step_1_download | INFO | Download progress: 64.4%
2025-01-23 17:02:24,962 | src.step_1_download | INFO | Download progress: 66.4%
2025-01-23 17:02:24,967 | src.step_1_download | INFO | Download progress: 68.3%
2025-01-23 17:02:24,967 | src.step_1_download | INFO | Download progress: 70.3%
2025-01-23 17:02:24,973 | src.step_1_download | INFO | Download progress: 72.2%
2025-01-23 17:02:24,974 | src.step_1_download | INFO | Download progress: 74.2%
2025-01-23 17:02:25,015 | src.step_1_download | INFO | Download progress: 76.1%
2025-01-23 17:02:25,016 | src.step_1_download | INFO | Download progress: 78.1%
2025-01-23 17:02:25,017 | src.step_1_download | INFO | Download progress: 80.0%
2025-01-23 17:02:25,018 | src.step_1_download | INFO | Download progress: 82.0%
2025-01-23 17:02:25,019 | src.step_1_download | INFO | Download progress: 83.9%
2025-01-23 17:02:25,021 | src.step_1_download | INFO | Download progress: 85.9%
2025-01-23 17:02:25,022 | src.step_1_download | INFO | Download progress: 87.8%
2025-01-23 17:02:25,022 | src.step_1_download | INFO | Download progress: 89.8%
2025-01-23 17:02:25,051 | src.step_1_download | INFO | Download progress: 91.7%
2025-01-23 17:02:25,055 | src.step_1_download | INFO | Download progress: 93.7%
2025-01-23 17:02:25,056 | src.step_1_download | INFO | Download progress: 95.7%
2025-01-23 17:02:25,059 | src.step_1_download | INFO | Download progress: 97.6%
2025-01-23 17:02:25,060 | src.step_1_download | INFO | Download progress: 99.6%
2025-01-23 17:02:25,061 | src.step_1_download | INFO | Download progress: 100.0%
2025-01-23 17:02:25,061 | src.step_1_download | INFO | Successfully downloaded 419,657 bytes to ./dataset-download/KMDS__OPER_P___10M_OBS_L2_202501231650.nc
2025-01-23 17:02:25,062 | src.step_1_download | INFO | Download step completed successfully
